L,runtime_seconds_median,grid_points,estimated_memory_MB
2,0.002372586999968007,44000,1.3427734375
4,0.004093434999958845,44000,1.3427734375
8,0.008944117999931223,44000,1.3427734375
16,0.025566448000063247,44000,1.3427734375
32,0.08091471000000183,44000,1.3427734375
64,0.291341449000015,44000,1.3427734375
96,0.6325929800000267,44000,1.3427734375
128,1.0704722680000032,44000,1.3427734375
