r_over_a,exact,L_2,L_4,L_8,L_16,L_32
0.02,1.22007117857581,1.2200679348422498,1.2200711839187341,1.220071178575827,1.2200711785758105,1.2200711785758105
0.021923847695390783,1.2196382313765324,1.219633549194105,1.2196382406437336,1.219638231376574,1.2196382313765326,1.2196382313765326
0.023847695390781562,1.2191658489532335,1.2191592964119051,1.2191658642980452,1.219165848953329,1.2191658489532338,1.2191658489532338
0.025771543086172344,1.218654109870151,1.2186451764956499,1.2186541343014732,1.2186541098703583,1.2186541098701513,1.2186541098701513
0.027695390781563127,1.2181030991354447,1.2180911894453392,1.218103136750093,1.2181030991358697,1.218103099135445,1.218103099135445
0.029619238476953906,1.2175129081627962,1.2174973352609733,1.217512964416251,1.217512908163628,1.2175129081627967,1.2175129081627967
0.03154308617234469,1.2168836347302037,1.216863613942552,1.2168837167485642,1.2168836347317629,1.216883634730204,1.216883634730204
0.03346693386773547,1.2162153829359938,1.2161900254900753,1.2162154998719203,1.2162153829388107,1.2162153829359943,1.2162153829359943
0.03539078156312625,1.2155082631521015,1.2154765699035432,1.215508426587478,1.2155082631570246,1.2155082631521017,1.2155082631521017
0.03731462925851703,1.2147623919746497,1.2147232471829559,1.2147626163726668,1.2147623919830026,1.21476239197465,1.21476239197465
0.039238476953907815,1.2139778921718756,1.2139300573283132,1.2139781953811868,1.2139778921856759,1.2139778921718762,1.2139778921718762
0.0411623246492986,1.2131548926294513,1.213097000339615,1.213155296443009,1.2131548926517075,1.2131548926294518,1.2131548926294518
0.04308617234468938,1.2122935282932383,1.2122240762168617,1.2122940590643752,1.2122935283283547,1.2122935282932386,1.2122935282932386
0.04501002004008016,1.2113939401095335,1.211311284960053,1.2113946294277977,1.2113939401638454,1.211393940109534,1.211393940109534
0.04693386773547094,1.2104562749628571,1.210358626569189,1.2104571603920606,1.2104562750453314,1.2104562749628571,1.2104562749628571
0.04885771543086172,1.2094806856113223,1.2093661010442696,1.2094818114922175,1.2094806857344709,1.2094806856113232,1.2094806856113232
0.0507815631262525,1.2084673306196683,1.2083337083852947,1.208468748939593,1.2084673308007121,1.208467330619668,1.208467330619668
0.05270541082164329,1.2074163742899804,1.2072614485922648,1.207418145621784,1.207416374552335,1.2074163742899802,1.2074163742899802
0.05462925851703407,1.206327986590186,1.2061493216651793,1.206330181102656,1.2063279869653225,1.206327986590186,1.206327986590186
0.05655310621242485,1.2052023430803651,1.2049973276040387,1.2052050416223472,1.2052023436101342,1.2052023430803658,1.2052023430803658
