ell,coefficient_abs_b_0p25,coefficient_abs_b_0p45,coefficient_abs_b_0p65,coefficient_abs_b_0p8
54,3.0814879110195774e-33,1.877049578837126e-19,7.894438734671812e-11,5.846006549323629e-06
55,7.703719777548943e-34,8.446723104767067e-20,5.1313851775366783e-11,4.676805239458904e-06
56,1.925929944387236e-34,3.8010253971451804e-20,3.335400365398841e-11,3.741444191567123e-06
57,4.81482486096809e-35,1.7104614287153313e-20,2.1680102375092468e-11,2.9931553532536988e-06
58,1.2037062152420224e-35,7.697076429218991e-21,1.4092066543810105e-11,2.394524282602959e-06
59,3.009265538105056e-36,3.463684393148546e-21,9.159843253476568e-12,1.9156194260823675e-06
60,7.52316384526264e-37,1.5586579769168457e-21,5.95389811475977e-12,1.532495540865894e-06
61,1.88079096131566e-37,7.013960896125806e-22,3.870033774593851e-12,1.2259964326927152e-06
62,4.70197740328915e-38,3.1562824032566128e-22,2.515521953486003e-12,9.807971461541723e-07
63,1.1754943508222875e-38,1.4203270814654756e-22,1.635089269765902e-12,7.846377169233378e-07
64,2.938735877055719e-39,6.391471866594641e-23,1.0628080253478364e-12,6.277101735386703e-07
65,7.346839692639297e-40,2.876162339967588e-23,6.908252164760936e-13,5.021681388309362e-07
66,1.8367099231598242e-40,1.2942730529854148e-23,4.490363907094609e-13,4.0173451106474904e-07
67,4.591774807899561e-41,5.824228738434367e-24,2.918736539611496e-13,3.2138760885179925e-07
68,1.1479437019748901e-41,2.620902932295465e-24,1.8971787507474722e-13,2.571100870814394e-07
69,2.8698592549372254e-42,1.1794063195329593e-24,1.233166187985857e-13,2.0568806966515154e-07
70,7.174648137343064e-43,5.307328437898317e-25,8.01558022190807e-14,1.6455045573212124e-07
71,1.793662034335766e-43,2.388297797054243e-25,5.2101271442402465e-14,1.31640364585697e-07
72,4.484155085839415e-44,1.0747340086744093e-25,3.3865826437561605e-14,1.053122916685576e-07
73,1.1210387714598537e-44,4.836303039034842e-26,2.2012787184415042e-14,8.424983333484609e-08
74,2.802596928649634e-45,2.176336367565679e-26,1.430831166986978e-14,6.739986666787687e-08
75,7.006492321624085e-46,9.793513654045555e-27,9.300402585415356e-15,5.39198933343015e-08
76,1.7516230804060213e-46,4.4070811443205e-27,6.045261680519981e-15,4.3135914667441206e-08
77,4.3790577010150533e-47,1.983186514944225e-27,3.929420092337988e-15,3.450873173395297e-08
78,1.0947644252537633e-47,8.924339317249014e-28,2.5541230600196924e-15,2.7606985387162374e-08
79,2.7369110631344083e-48,4.015952692762056e-28,1.6601799890128e-15,2.20855883097299e-08
80,6.842277657836021e-49,1.8071787117429251e-28,1.0791169928583202e-15,1.7668470647783922e-08
