b_over_a,image_energy_U,signed_radial_force_F
0.02,-0.5002000800320128,-0.02001600960512256
0.021552587646076794,-0.5002323649539031,-0.021572624565012417
0.023105175292153588,-0.5002670671361976,-0.023129864416033194
0.024657762938230382,-0.5003041875842142,-0.02468777440593135
0.02621035058430718,-0.5003437273735589,-0.026246399831027983
0.027762938230383973,-0.5003856876502042,-0.02780578603951879
0.029315525876460767,-0.5004300696305719,-0.029365978434781042
0.030868113522537564,-0.5004768746016217,-0.030927022478687997
0.032420701168614355,-0.5005261039209444,-0.032488963694931275
0.03397328881469115,-0.5005777590168602,-0.03405184767235162
0.03552587646076795,-0.500631841388523,-0.0356157200682785
0.03707846410684474,-0.5006883526060288,-0.03718062661187901
0.03863105175292153,-0.5007472943105303,-0.038746613107516474
0.04018363939899833,-0.500808668214356,-0.040313725438119466
0.041736227045075125,-0.5008724761011346,-0.041882009568561224
0.04328881469115192,-0.5009387198259254,-0.04345151154905045
0.04484140233722871,-0.5010074013153532,-0.0450222775185337
0.0463939899833055,-0.5010785225677481,-0.04659435370810978
0.0479465776293823,-0.5011520856532923,-0.04816778644445675
0.0494991652754591,-0.5012280927141706,-0.04974262215327208
0.051051752921535895,-0.5013065459647267,-0.05131890736272619
0.05260434056761268,-0.5013874476916251,-0.05289668870693004
0.054156928213689476,-0.5014708002540188,-0.05447601292941735
0.05570951585976627,-0.5015566060837208,-0.05605692688664163
0.05726210350584307,-0.5016448676853832,-0.05763947755148872
0.05881469115191987,-0.5017355876366801,-0.05922371201680551
0.06036727879799665,-0.501828768588497,-0.06080967749894483
0.06191986644407345,-0.5019244132651248,-0.062397421341327614
0.06347245409015025,-0.5020225244644605,-0.06398699101802234
0.06502504173622704,-0.5021231050582121,-0.06557843413734256
0.06657762938230384,-0.5022261579921108,-0.06717179844546298
0.06813021702838062,-0.5023316862861267,-0.0687671318300545
0.06968280467445742,-0.5024396930346922,-0.0703644823239389
0.07123539232053422,-0.5025501814069299,-0.07196389810876348
0.07278797996661102,-0.5026631546468865,-0.07356542751869653
0.07434056761268781,-0.5027786160737728,-0.07516911904414374
0.0758931552587646,-0.5028965690822085,-0.07677502133548636
0.0774457429048414,-0.5030170171424742,-0.07838318320684187
0.07899833055091819,-0.5031399638007679,-0.07999365363984698
0.08055091819699499,-0.5032654126794689,-0.08160648178746437
0.08210350584307179,-0.5033933674774057,-0.08322171697781318
0.08365609348914858,-0.5035238319701321,-0.08483940871802403
0.08520868113522537,-0.503656810010207,-0.08645960669811907
0.08676126878130216,-0.5037923055274822,-0.08808236079491773
0.08831385642737896,-0.5039303225293951,-0.08970772107596856
0.08986644407345576,-0.504070865101268,-0.09133573780350802
0.09141903171953256,-0.5042139374066134,-0.09296646143844668
0.09297161936560934,-0.5043595436874455,-0.09459994264438328
0.09452420701168614,-0.5045076882645986,-0.09623623229164756
0.09607679465776293,-0.5046583755380503,-0.09787538146137229
0.09762938230383973,-0.5048116099872524,-0.09951744144959511
0.09918196994991653,-0.5049673961714681,-0.10116246377139096
0.10073455759599331,-0.505125738730115,-0.10281050016503547
0.10228714524207011,-0.5052866423831146,-0.1044616025962004
0.10383973288814691,-0.5054501119312491,-0.1061158232621811
0.1053923205342237,-0.505616152256524,-0.10777321459615744
0.1069449081803005,-0.5057847683225382,-0.1094338292714883
0.10849749582637729,-0.5059559651748592,-0.11109772020604043
0.11005008347245408,-0.5061297479414073,-0.11276494056655258
0.11160267111853088,-0.5063061218328447,-0.11443554377303522
0.11315525876460768,-0.5064850921429724,-0.11610958350320694
0.11470784641068447,-0.5066666642491334,-0.11778711369696797
0.11626043405676126,-0.506850843612624,-0.11946818856091156
0.11781302170283806,-0.5070376357791107,-0.12115286257287407
0.11936560934891485,-0.507227046379055,-0.12284119048652441
0.12091819699499165,-0.5074190811281458,-0.12453322733599367
0.12247078464106845,-0.5076137458277379,-0.12622902844054548
0.12402337228714523,-0.5078110463652983,-0.12792864940928808
0.12557595993322201,-0.5080109887148602,-0.1296321461459288
0.1271285475792988,-0.508213578937484,-0.13133957485357184
0.1286811352253756,-0.5084188231817262,-0.13305099203955972
0.1302337228714524,-0.5086267276841147,-0.13476645452035982
0.1317863105175292,-0.5088372987696334,-0.13648601942649644
0.133338898163606,-0.5090505428522134,-0.13820974420752918
0.1348914858096828,-0.5092664664352321,-0.13993768663707867
0.1364440734557596,-0.5094850761120204,-0.1416699048179005
0.1379966611018364,-0.5097063785663776,-0.14340645718700798
0.13954924874791316,-0.5099303805730945,-0.14514740252084454
0.14110183639398996,-0.5101570889984841,-0.1468927999405076
0.14265442404006676,-0.5103865108009213,-0.14864270891702305
0.14420701168614355,-0.5106186530313901,-0.15039718927667312
0.14575959933222035,-0.5108535228340391,-0.15215630120637721
0.14731218697829715,-0.5110911274467459,-0.15392010525912725
0.14886477462437395,-0.5113314742016899,-0.15568866235947854
0.15041736227045072,-0.5115745705259328,-0.15746203380909657
0.1519699499165275,-0.5118204239420093,-0.15924028129236145
0.1535225375626043,-0.512069042068525,-0.16102346688203048
0.1550751252086811,-0.5123204326207641,-0.16281165304495973
0.1566277128547579,-0.512574603411306,-0.16460490264788655
0.1581803005008347,-0.5128315623506501,-0.1664032789632726
0.1597328881469115,-0.5130913174478507,-0.16820684567521008
0.1612854757929883,-0.5133538768111608,-0.17001566688539071
0.1628380634390651,-0.513619248648685,-0.17182980711913967
0.1643906510851419,-0.5138874412690415,-0.17364933133151497
0.16594323873121866,-0.5141584630820349,-0.17547430491347374
0.16749582637729546,-0.5144323225993374,-0.1773047936981062
0.16904841402337226,-0.51470902843518,-0.1791408639669387
0.17060100166944905,-0.5149885893070538,-0.18098258245630713
0.17215358931552585,-0.5152710140364212,-0.1828300163638015
0.17370617696160265,-0.5155563115494372,-0.18468323335478326
0.17525876460767945,-0.5158444908776803,-0.18654230156897628
0.17681135225375624,-0.5161355611588944,-0.18840728962713302
0.17836393989983304,-0.5164295316377413,-0.19027826663777705
0.17991652754590984,-0.5167264116665627,-0.19215530220402297
0.1814691151919866,-0.5170262107061535,-0.19403846643047548
0.1830217028380634,-0.5173289383265461,-0.1959278299302085
0.1845742904841402,-0.5176346042078053,-0.1978234638318258
0.186126878130217,-0.5179432181408337,-0.19972543978660492
0.1876794657762938,-0.5182547900281895,-0.20163382997572513
0.1892320534223706,-0.5185693298849147,-0.20354870711758102
0.1907846410684474,-0.5188868478393746,-0.20547014447518375
0.1923372287145242,-0.5192073541341095,-0.20739821586365037
0.193889816360601,-0.5195308591266973,-0.20933299565778357
0.19544240400667778,-0.5198573732906292,-0.21127455879974313
0.19699499165275455,-0.5201869072161959,-0.21322298080681024
0.19854757929883135,-0.5205194716113869,-0.21517833777924686
0.20010016694490815,-0.5208550773028015,-0.21714070640825092
0.20165275459098495,-0.5211937352365731,-0.2191101639840101
0.20320534223706174,-0.521535456479305,-0.2210867884038542
0.20475792988313854,-0.5218802522190193,-0.22307065818050997
0.20631051752921534,-0.5222281337661199,-0.22506185245045757
0.20786310517529213,-0.5225791125543657,-0.2270604509823925
0.20941569282136893,-0.5229332001418606,-0.22906653418579345
0.21096828046744573,-0.5232904082120539,-0.23108018311959852
0.2125208681135225,-0.5236507485747559,-0.23310147950099133
0.2140734557595993,-0.524014233167167,-0.235130505714299
0.2156260434056761,-0.5243808740549198,-0.23716734482000365
0.2171786310517529,-0.5247506834331367,-0.23921208056386936
0.2187312186978297,-0.5251236736275005,-0.2412647973861872
0.22028380634390649,-0.5254998570953403,-0.24332558043113908
0.22183639398998328,-0.5258792464267313,-0.24539451555628347
0.22338898163606008,-0.5262618543456107,-0.2474716893421646
0.22494156928213688,-0.5266476937109061,-0.2495571891020471
0.22649415692821365,-0.5270367775176829,-0.2516511028917786
0.22804674457429044,-0.527429118898303,-0.2537535195197821
0.22959933222036724,-0.5278247311236023,-0.2558645285571802
0.23115191986644404,-0.5282236276040824,-0.25798422034805396
0.23270450751252084,-0.5286258218911186,-0.26011268601983806
0.23425709515859763,-0.5290313276781846,-0.26225001749385485
0.23580968280467443,-0.5294401588020933,-0.2643963074959899
0.23736227045075123,-0.529852329244254,-0.2665516495675106
0.23891485809682803,-0.530267853131947,-0.268716138076031
0.24046744574290482,-0.5306867447396157,-0.27088986822662586
0.2420200333889816,-0.5311090184901747,-0.27307293607309424
0.2435726210350584,-0.5315346889563369,-0.27526543852937857
0.2451252086811352,-0.5319637708619579,-0.2774674733811377
0.24667779632721198,-0.5323962790833981,-0.27967913929748106
0.24823038397328878,-0.5328322286509043,-0.28190053584286295
0.24978297161936558,-0.5332716347500083,-0.2841317634891415
0.2513355592654424,-0.5337145127229458,-0.28637292362780503
0.2528881469115192,-0.5341608780700933,-0.2886241185823684
0.25444073455759597,-0.5346107464514255,-0.2908854516209416
0.25599332220367277,-0.5350641336879912,-0.29315702696897544
0.25754590984974957,-0.53552105576341,-0.29543894982218516
0.25909849749582636,-0.5359815288253887,-0.29773132635965643
0.26065108514190316,-0.5364455691872584,-0.3000342637571364
0.26220367278797996,-0.5369131933295321,-0.30234787020051296
0.26375626043405676,-0.5373844179014845,-0.30467225489948646
0.26530884808013355,-0.5378592597227511,-0.3070075281014347
0.26686143572621035,-0.5383377357849508,-0.3093538011054777
0.26841402337228715,-0.5388198632533301,-0.3117111862767433
0.26996661101836394,-0.5393056594684289,-0.31407979706083883
0.27151919866444074,-0.5397951419477697,-0.3164597479985305
0.27307178631051754,-0.5402883283875691,-0.3188511547406361
0.27462437395659434,-0.5407852366644736,-0.3212541340631336
0.27617696160267113,-0.541285884837318,-0.32366880388249
0.27772954924874793,-0.5417902911489074,-0.3260952832712129
0.27928213689482473,-0.5422984740278262,-0.32853369247363146
0.28083472454090147,-0.5428104520902676,-0.33098415292190775
0.28238731218697827,-0.5433262441418922,-0.3334467872522846
0.28393989983305506,-0.5438458691797092,-0.33592171932157316
0.28549248747913186,-0.5443693463939847,-0.3384090742238848
0.28704507512520866,-0.5448966951701758,-0.3409089783076116
0.28859766277128546,-0.5454279350908916,-0.34342155919266
0.29015025041736225,-0.5459630859378803,-0.345946945787941
0.29170283806343905,-0.5465021676940451,-0.348485268309124
0.29325542570951585,-0.5470452005454858,-0.3510366582966557
0.29480801335559265,-0.5475922048835712,-0.3536012486340516
0.29636060100166944,-0.5481432013070376,-0.3561791735664636
0.29791318864774624,-0.5486982106241182,-0.3587705687195283
0.29946577629382304,-0.5492572538547003,-0.3613755711185025
0.30101836393989984,-0.5498203522325146,-0.3639943192076899
0.30257095158597663,-0.5503875272073528,-0.36662695287016467
0.30412353923205343,-0.5509588004473175,-0.36927361344779647
0.3056761268781302,-0.5515341938411019,-0.371934443761584
0.307228714524207,-0.5521137295003032,-0.3746095881323015
0.3087813021702838,-0.5526974297617674,-0.37729919240146376
0.3103338898163606,-0.553285317189966,-0.3800034039526161
0.31188647746243736,-0.5538774145794076,-0.3827223717329549
0.31343906510851416,-0.5544737449570827,-0.38545624627528496
0.31499165275459096,-0.5550743315849419,-0.3882051797203192
0.31654424040066775,-0.5556791979624109,-0.39096932583932814
0.31809682804674455,-0.5562883678289393,-0.3937488400571444
0.31964941569282135,-0.5569018651665861,-0.39654387947552927
0.32120200333889815,-0.5575197142026415,-0.3993546028969087
0.32275459098497494,-0.5581419394122865,-0.40218117084848437
0.32430717863105174,-0.5587685655212891,-0.4050237456067268
0.32585976627712854,-0.55939961750874,-0.4078824912222597
0.32741235392320533,-0.5600351206098264,-0.4107575735451397
0.32896494156928213,-0.5606751003186455,-0.4136491602505412
0.33051752921535893,-0.5613195823910591,-0.4165574208648529
0.3320701168614357,-0.561968592847587,-0.4194825267921942
0.3336227045075125,-0.562622157976345,-0.422424651341359
0.3351752921535893,-0.5632803043360214,-0.4253839697531946
0.3367278797996661,-0.5639430587588994,-0.42836065922842514
0.3382804674457429,-0.5646104483539215,-0.4313548989559269
0.3398330550918197,-0.5652825005097989,-0.43436687014146413
0.34138564273789646,-0.5659592428981649,-0.43739675603689454
0.34293823038397325,-0.5666407034767748,-0.44044474196985306
0.34449081803005005,-0.5673269104927523,-0.4435110153739233
0.34604340567612685,-0.5680178924858831,-0.44659576581930627
0.34759599332220364,-0.5687136782919556,-0.4496991850439943
0.34914858096828044,-0.5694142970461518,-0.4528214669854623
0.35070116861435724,-0.5701197781864868,-0.4559628078128844
0.35225375626043404,-0.5708301514572992,-0.4591234059598866
0.35380634390651083,-0.5715454469127925,-0.46230346215784707
0.35535893155258763,-0.5722656949206288,-0.46550317946975167
0.35691151919866443,-0.5729909261655759,-0.46872276332461943
0.3584641068447412,-0.5737211716532069,-0.47196242155250595
0.360016694490818,-0.5744564627136567,-0.4752223644200964
0.3615692821368948,-0.5751968310054323,-0.47850280466690265
0.3631218697829716,-0.575942308519281,-0.48180395754207156
0.3646744574290484,-0.5766929275821154,-0.48512604084182026
0.3662270450751252,-0.577448720860998,-0.48846927494750914
0.367779632721202,-0.5782097213671843,-0.49183388286436575
0.3693322203672788,-0.5789759624602275,-0.495220090260872
0.3708848080133556,-0.579747477852144,-0.49862812550882724
0.37243739565943235,-0.5805243016116424,-0.5020582197241024
0.37398998330550914,-0.5813064681684159,-0.5055106068080981
0.37554257095158594,-0.5820940123175,-0.5089855234899199
0.37709515859766274,-0.5828869692236954,-0.5124832093692859
0.37864774624373954,-0.5836853744260591,-0.5160039069601813
0.38020033388981633,-0.5844892638424634,-0.5195478617352762
0.38175292153589313,-0.5852986737742242,-0.5231153221711187
0.38330550918196993,-0.5861136409108011,-0.5267065397941226
0.3848580968280467,-0.5869342023345677,-0.5303217692273635
0.3864106844741235,-0.5877603955256574,-0.5339612682382006
0.3879632721202003,-0.588592258366882,-0.5376252977867417
0.3895158597662771,-0.589429829148727,-0.5413141220751666
0.3910684474123539,-0.5902731465744244,-0.5450280085979283
0.3926210350584307,-0.5911222497651034,-0.5487672281928486
0.3941736227045075,-0.5919771782650216,-0.5525320550931297
0.3957262103505843,-0.5928379720468779,-0.5563227669802953
0.3972787979966611,-0.5937046715172077,-0.5601396450380847
0.3988313856427379,-0.594577317521863,-0.5639829740073188
0.4003839732888147,-0.5954559513515782,-0.5678530422417573
0.4019365609348915,-0.5963406147476237,-0.5717501417649673
0.40348914858096824,-0.5972313499075483,-0.5756745683282278
0.40504173622704503,-0.5981281994910126,-0.5796266214694864
0.40659432387312183,-0.5990312066257142,-0.5836066045733945
0.40814691151919863,-0.5999404149134075,-0.5876148249324432
0.4096994991652754,-0.6008558684360199,-0.5916515938092208
0.4112520868113522,-0.6017776117618635,-0.5957172264998185
0.412804674457429,-0.6027056899519483,-0.5998120423984057
0.4143572621035058,-0.6036401485663956,-0.6039363650630035
0.4159098497495826,-0.6045810336709546,-0.6080905222824778
0.4174624373956594,-0.6055283918436236,-0.612274846144781
0.4190150250417362,-0.606482270181379,-0.6164896731064688
0.420567612687813,-0.6074427163070125,-0.6207353440635176
0.4221202003338898,-0.6084097783760797,-0.6250122044234719
0.4236727879799666,-0.609383505083961,-0.6293206041789522
0.4252253756260434,-0.6103639456730393,-0.6336608979825478
0.4267779632721202,-0.6113511499399932,-0.638033445223131
0.428330550918197,-0.612345168243211,-0.6424386101036179
0.4298831385642738,-0.6133460515103263,-0.6468767617202121
0.4314357262103506,-0.6143538512458776,-0.6513482741431592
0.43298831385642733,-0.6153686195390948,-0.6558535264990497
0.43454090150250413,-0.6163904090718144,-0.6603929030547018
0.4360934891485809,-0.6174192731265263,-0.6649667933026587
0.4376460767946577,-0.6184552655945547,-0.6695755920483378
0.4391986644407345,-0.6194984409843755,-0.6742196994988676
0.4407512520868113,-0.620548854430073,-0.6788995213536493
0.4423038397328881,-0.6216065616999389,-0.6836154688966836
0.4438564273789649,-0.622671619205215,-0.6883679590906984
0.4454090150250417,-0.6237440840089846,-0.6931574146731225
0.4469616026711185,-0.6248240138352146,-0.6979842642539442
0.4485141903171953,-0.625911467077949,-0.7028489424154968
0.4500667779632721,-0.6270065028106612,-0.7077518898142144
0.4516193656093489,-0.6281091807957647,-0.7126935532844085
0.4531719532554257,-0.6292195614942867,-0.7176743859441008
0.4547245409015025,-0.6303377060757073,-0.72269484730297
0.4562771285475793,-0.6314636764279686,-0.7277554033724523
0.4578297161936561,-0.6325975351676563,-0.7328565267780516
0.4593823038397329,-0.6337393456503567,-0.7379986968739061
0.4609348914858097,-0.6348891719811944,-0.7431823998596641
0.4624874791318865,-0.636047079025553,-0.7484081288997259
0.4640400667779632,-0.6372131324199817,-0.7536763842448994
0.46559265442404,-0.6383873985832946,-0.7589876733565364
0.4671452420701168,-0.6395699447278634,-0.7643425110331937
0.4686978297161936,-0.6407608388711087,-0.7697414195398933
0.4702504173622704,-0.6419601498471945,-0.775184928740029
0.4718030050083472,-0.6431679473189299,-0.7806735762299924
0.473355592654424,-0.6443843017898815,-0.7862079074765763
0.4749081803005008,-0.6456092846167008,-0.7917884759572218
0.4764607679465776,-0.6468429680216726,-0.7974158433031807
0.4780133555926544,-0.6480854251054879,-0.8030905794456583
0.4795659432387312,-0.6493367298602452,-0.8088132627650095
0.481118530884808,-0.6505969571826861,-0.8145844802430626
0.4826711185308848,-0.6518661828876712,-0.8204048276186441
0.4842237061769616,-0.6531444837218982,-0.8262749095463827
0.4857762938230384,-0.6544319373778699,-0.8321953397588719
0.4873288814691152,-0.655728622508117,-0.8381667412322723
0.488881469115192,-0.6570346187396803,-0.8441897463554372
0.4904340567612688,-0.6583500066888578,-0.8502649971026494
0.4919866444073456,-0.6596748679762242,-0.8563931452100539
0.49353923205342237,-0.6610092852419263,-0.8625748523558823
0.4950918196994991,-0.6623533421612603,-0.8688107903445551
0.4966444073455759,-0.6637071234605412,-0.87510164129477
0.4981969949916527,-0.665070714933263,-0.8814480978316576
0.4997495826377295,-0.6664442034565641,-0.8878508632831232
0.5013021702838063,-0.6678276770079993,-0.8943106518804673
0.5028547579298831,-0.6692212246826263,-0.9008281889633973
0.5044073455759599,-0.6706249367104152,-0.9074042111895393
0.5059599332220367,-0.6720389044739857,-0.9140394667485618
0.5075125208681135,-0.6734632205266813,-0.9207347155810315
0.5090651085141903,-0.674897978610986,-0.9274907296021174
0.5106176961602671,-0.6763432736772933,-0.9343082929302687
0.5121702838063439,-0.6777992019030339,-0.941188202120992
0.5137228714524207,-0.6792658607121693,-0.9481312664058597
0.5152754590984975,-0.6807433487950625,-0.9551383079368828
0.5168280467445743,-0.6822317661287305,-0.9622101620363872
0.5183806343906511,-0.6837312139974905,-0.9693476774525319
0.5199332220367279,-0.685241795014007,-0.9765517166206253
0.5214858096828047,-0.6867636131407481,-0.9838231559303756
0.5230383973288815,-0.6882967737118633,-0.9911628859992433
0.5245909849749583,-0.689841383455489,-0.9985718119520482
0.5261435726210351,-0.6913975505164937,-1.006050853706998
0.5276961602671119,-0.6929653844796726,-1.0136009462683067
