theta_over_pi,sigma_b_0p25,sigma_b_0p45,sigma_b_0p65,sigma_b_0p8
0.0,-0.17683882565766149,-0.38144573137726967,-1.0718598208229677,-3.5809862195676394
0.0014306151645207437,-0.17683644429164144,-0.3814285388586457,-1.0716875177595229,-3.5788172707688752
0.0028612303290414874,-0.17682930056235288,-0.3813769693982007,-1.0711708889272233,-3.5723235873634214
0.004291845493562232,-0.1768173955759764,-0.38129104727327845,-1.0703107743346243,-3.5615444722423883
0.005722460658082975,-0.17680073117569914,-0.38117081291635174,-1.0691085704513779,-3.5465448146757796
0.007153075822603719,-0.17677930994104524,-0.38101632287043136,-1.0675662249168045,-3.5274141833281303
0.008583690987124463,-0.1767531351869378,-0.380827649726765,-1.065686229182415,-3.504265588493044
0.010014306151645206,-0.17672221096249482,-0.38060488204494936,-1.0634716091383916,-3.4772339440472724
0.01144492131616595,-0.17668654204955903,-0.38034812425560866,-1.060925913787267,-3.4464742662743086
0.012875536480686695,-0.176646133960962,-0.38005749654584037,-1.058053202040757,-3.4121596519696054
0.014306151645207437,-0.17660099293852546,-0.37973313472764797,-1.0548580277276214,-3.3744790819657515
0.01573676680972818,-0.17655112595079925,-0.3793751900896218,-1.0513454229113113,-3.33363509834175
0.017167381974248927,-0.17649654069053822,-0.3789838292321599,-1.047520879626224,-3.2898414041117787
0.01859799713876967,-0.17643724557191984,-0.37855923388654966,-1.0433903301501581,-3.2433204332105077
0.02002861230329041,-0.17637324972750415,-0.3781016007182639,-1.0389601259382815,-3.1943009362456487
0.021459227467811155,-0.1763045630049382,-0.37761114111485383,-1.034237015350419,-3.143015623966023
0.0228898426323319,-0.17623119596340617,-0.37708808095884533,-1.029228120308564,-3.08969890592491
0.024320457796852647,-0.1761531598698298,-0.376532660386078,-1.0239409120255207,-3.034584756647467
0.02575107296137339,-0.17607046669481843,-0.37594513352994924,-1.0183831859481876,-2.9779047359909807
0.02718168812589413,-0.17598312910837408,-0.37532576825204406,-1.0125630360602824,-2.919886184560117
0.028612303290414875,-0.17589116047535264,-0.37467484585966726,-1.0064888286894496,-2.860750609228267
0.030042918454935622,-0.17579457485068464,-0.3739926608107995,-1.0001691759626128,-2.8007122682188905
0.03147353361945636,-0.17569338697435935,-0.37327952040703116,-0.9936129090510926,-2.739976959974332
0.03290414878397711,-0.17558761226617373,-0.3725357444750421,-0.9868290513437545,-2.678741015315001
0.034334763948497854,-0.17547726682025128,-0.3717616650372048,-0.9798267916820301,-2.6171904882513375
0.035765379113018594,-0.17536236739933372,-0.370957625971917,-0.9726154577854623,-2.55550053731166
