theta_over_pi,exact,L_4,L_8,L_16,L_32
0.0,-0.3814457313772696,-0.3477082909688495,-0.3791864348098255,-0.3814389868340558,-0.381445731341543
0.001669449081803,-0.3814223196182798,-0.3476952611398363,-0.3791647481689192,-0.3814155908343419,-0.3814223195828431
0.003338898163606,-0.381352099352401,-0.3476561746495246,-0.3790996989921522,-0.3813454177335111,-0.3813520993178264
0.005008347245409,-0.3812351155903442,-0.3475910404871259,-0.3789913195079678,-0.3812285122048593,-0.3812351155571838
0.006677796327212,-0.3810714432748197,-0.3474998736314165,-0.3788396633990739,-0.3810649486318018,-0.3810714432435903
0.008347245409015,-0.3808611871680399,-0.3473826950458758,-0.3786448057554346,-0.3808548309999469,-0.3808611871392111
0.010016694490818,-0.3806044816946468,-0.34723953167188,-0.3784068430085341,-0.3805982927463619,-0.3806044816686311
0.011686143572621,-0.3803014907404928,-0.3470704164199588,-0.3781258928469901,-0.3802954965664082,-0.3803014907176342
0.013355592654424,-0.3799524074078164,-0.3468753881591128,-0.3778020941136127,-0.3799466341786119,-0.3799524073883838
0.015025041736227,-0.3795574537274659,-0.3466544917042,-0.3774356066840288,-0.379551926048141,-0.3795574537116467
0.01669449081803,-0.3791168803289509,-0.346407777801394,-0.3770266113270128,-0.3791116210695658,-0.3791168803168476
0.018363939899833,-0.3786309660691945,-0.3461353031117195,-0.3765753095466817,-0.3786259962096652,-0.3786309660608244
0.020033388981636,-0.3781000176209801,-0.3458371301926723,-0.3760819234067422,-0.3780953561111457,-0.3781000176162743
0.021702838063439,-0.3775243690221745,-0.3455133274779289,-0.3755466953369857,-0.377520032658226,-0.3775243690209828
0.023372287145242,-0.3769043811869242,-0.3451639692551567,-0.3749698879222617,-0.3769003845051327,-0.3769043811890204
0.025041736227045,-0.3762404413800918,-0.3447891356419273,-0.3743517836741639,-0.3762367965686293,-0.3762404413851795
0.026711185308848,-0.3755329626563117,-0.34438891255975,-0.373692684785703,-0.3755296794857961,-0.3755329626640353
0.028380634390651,-0.3747823832651029,-0.3439633917062268,-0.3729929128692347,-0.3747794690383364,-0.3747823832750568
0.030050083472454,-0.3739891660235706,-0.3435126705253456,-0.3722528086779572,-0.3739866255447759,-0.3739891660353113
0.031719532554257,-0.3731537976582903,-0.3430368521759206,-0.371472731811289,-0.37315163322198,-0.3731537976713489
0.0333889816360601,-0.3722767881180276,-0.3425360454981908,-0.3706530604044678,-0.372274999517473,-0.3722767881319231
0.0350584307178631,-0.3713586698590169,-0.3420103649785898,-0.3697941908027263,-0.3713572544141175,-0.3713586698732682
0.0367278797996661,-0.370399997104559,-0.3414599307127024,-0.3688965372204176,-0.3703989497087492,-0.3703999971186988
0.0383973288814691,-0.3694013450807517,-0.340884868366417,-0.3679605313854776,-0.36940065826642,-0.369401345094338
0.0400667779632721,-0.3683633092302003,-0.3402853091352938,-0.3669866221696336,-0.3683629732519419,-0.368363309242827
0.0417362270450751,-0.3672865044055837,-0.3396613897021603,-0.3659752752047774,-0.3672865073404658,-0.3672865044168922
0.0434056761268781,-0.3661715640449801,-0.3390132521929513,-0.3649269724859387,-0.3661718919088508,-0.3661715640546659
